,;gram;pu;P;1
fossa;nom;;CVCCV;27952
marés;nom;;CVCVC;28008
médio;nom;;CVCVV;28009
orgão;nom;;VCCVV;28032
régua;nom;;CVCVV;28075
retas;adj;;CVCVC;28087
revés;nom;;CVCVC;28089
rolos;nom;;CVCVC;28093
soros;nom;;CVCVC;28113
tanga;nom;;CVCCV;28121
tecer;ver;;CVCVC;28123
traça;nom;;CCVCV;28138
aptas;adj;;VCCVC;28212
bruto;nom;;CCVCV;28231
bucal;adj;;CVCVC;28232
chita;nom;;CCVCV;28250
cocar;nom;;CVCVC;28255
fobia;nom;;CVCVV;28350
ganso;nom;;CVCCV;28357
morse;nom;;CVCCV;28424
pixel;nom;;CVCVC;28457
porre;nom;;CVCCV;28463
poses;nom;;CVCVC;28464
puxão;nom;;CVCVV;28481
retas;nom;;CVCVC;28499
stars;nom;;CCVCC;28526
teipe;nom;;CVVCV;28539
vivos;nom;;CVCVC;28569
apuro;nom;;VCVCV;28630
árido;adj;;VCVCV;28632
avais;nom;;VCVVC;28645
cades;nom;;CVCVC;28660
dosar;ver;;CVCVC;28726
fusos;nom;;CVCVC;28776
grato;adj;;CCVCV;28782
hertz;nom;;CVCCC;28787
lajes;nom;;CVCVC;28812
magma;nom;;CVCCV;28821
moita;nom;;CVVCV;28836
perca;nom;;CVCCV;28877
raias;nom;;CVVVC;28914
seiva;nom;;CVVCV;28940
seria;adv;;CVCVV;28941
sósia;nom;;CVCVV;28950
tacos;nom;;CVCVC;28961
turco;nom;;CVCCV;28979
balun;nom;;CVCVC;29081
banir;ver;;CVCVC;29082
brejo;nom;;CCVCV;29088
brita;nom;;CCVCV;29089
campi;nom;;CVCCV;29094
claro;nom;;CCVCV;29106
coupé;nom;;CVVCV;29130
fungo;nom;;CVCCV;29212
garbo;nom;;CVCCV;29213
lisas;adj;;CVCVC;29262
lorde;nom;;CVCCV;29265
modal;adj;;CVCVC;29276
naven;nom;;CVCVC;29286
pinho;nom;;CVCCV;29316
pitch;nom;;CVCCC;29321
soldo;nom;;CVCCV;29389
tonto;nom;;CVCCV;29415
varal;nom;;CVCVC;29435
cavar;ver;;CVCVC;29552
deixa;nom;;CVVCV;29607
fecho;nom;;CVCCV;29667
foros;nom;;CVCVC;29676
jaula;nom;;CVVCV;29720
lixão;nom;;CVCVV;29730
moído;adj;;CVVCV;29751
selar;ver;;CVCVC;29856
solar;nom;;CVCVC;29865
afins;nom;;VCVCC;29981
bamba;adj;;CVCCV;30018
coeso;adj;;CVVCV;30057
entes;nom;;VCCVC;30143
facão;nom;;CVCVV;30171
funil;nom;;CVCVC;30186
jurar;ver;;CVCVC;30234
mudos;adj;;CVCVC;30275
night;nom;;CVCCC;30280
ninja;nom;;CVCCV;30281
nylon;nom;;CVCVC;30282
pensa;adj;;CVCCV;30309
ronco;nom;;CVCCV;30379
rouco;adj;;CVVCV;30380
sunga;nom;;CVCCV;30414
vigas;nom;;CVCVC;30455
voraz;adj;;CVCVC;30460
amena;adj;;VCVCV;30537
áurea;adj;;VVCVV;30557
baque;nom;;CVCVV;30566
china;nom;;CCVCV;30594
cupim;nom;;CVCVC;30632
dutos;nom;;CVCVC;30669
esqui;nom;;VCCVV;30695
favas;nom;;CVCVC;30710
hasta;nom;;CVCCV;30733
inato;adj;;VCVCV;30746
mamas;nom;;CVCVC;30781
meiga;adj;;CVVCV;30791
melão;nom;;CVCVV;30792
raves;nom;;CVCVC;30877
solda;nom;;CVCCV;30925
tenaz;adj;;CVCVC;30941
tours;nom;;CVVCC;30950
tricô;nom;;CCVCV;30957
tufão;nom;;CVCVV;30958
viúvo;nom;;CVVCV;30969
vogal;nom;;CVCVC;30971
augen;nom;;VVCVC;31081
barca;nom;;CVCCV;31092
buquê;nom;;CVCVV;31105
catão;nom;;CVCVV;31119
domar;ver;;CVCVC;31209
durão;adj;;CVCVV;31212
faraó;nom;;CVCVV;31257
gumes;nom;;CVCVC;31283
homme;nom;;CVCCV;31288
inata;adj;;VCVCV;31302
incas;nom;;VCCVC;31304
karen;nom;;CVCVC;31321
mezzo;adv;;CVCCV;31344
micro;gram;ec;CVCCV;31345
miúda;adj;;CVVCV;31348
pinos;nom;;CVCVC;31394
pomar;nom;;CVCVC;31399
rudes;adj;;CVCVC;31459
sugar;ver;;CVCVC;31486
suíça;nom;;CVVCV;31487
taças;nom;;CVCVC;31491
tchau;gram;in;CCCVV;31494
topar;ver;;CVCVC;31504
turfe;nom;;CVCCV;31521
adobe;nom;;VCVCV;31598
anais;nom;;VCVVC;31618
ardil;nom;;VCCVC;31625
bofes;nom;;CVCVC;31663
bravo;nom;;CCVCV;31667
brios;nom;;CCVVC;31668
cesto;nom;;CVCCV;31689
dúbia;adj;;CVCVV;31789
fêmea;adj;;CVCVV;31839
mirar;ver;;CVCVC;31937
ônias;adj;;VCVVC;31964
quark;nom;;CVVCC;32016
ranço;nom;;CVCCV;32021
saída;adj;;CVVCV;32056
timão;nom;;CVCVV;32088
adido;nom;;VCVCV;32185
altos;nom;;VCCVC;32203
cache;nom;;CVCCV;32260
canil;nom;;CVCVC;32267
cocos;nom;;CVCVC;32287
creme;adj;;CCVCV;32320
crias;nom;;CCVVC;32321
dream;nom;;CCVVC;32363
fones;nom;;CVCVC;32409
green;nom;;CCVVC;32429
grifo;nom;;CCVCV;32431
house;nom;;CVVCV;32440
maias;nom;;CVVVC;32503
maiôs;nom;;CVVVC;32504
milha;nom;;CVCCV;32518
mural;adj;;CVCVC;32524
onças;nom;;VCCVC;32549
oxalá;adv;;VCVCV;32556
pager;nom;;CVCVC;32558
pecha;nom;;CVCCV;32563
pífio;adj;;CVCVV;32569
rouca;adj;;CVVCV;32640
sanha;nom;;CVCCV;32647
sinhô;nom;;CVCCV;32658
spots;nom;;CCVCC;32666
terna;adj;;CVCCV;32679
tira-;nom;;CVCV-;32682
tupis;nom;;CVCVC;32694
villa;nom;;CVCCV;32706
bebop;nom;;CVCVC;32860
becos;nom;;CVCVC;32861
brega;adj;;CCVCV;32871
cosmo;nom;;CVCCV;32936
crust;nom;;CCVCC;32944
cubos;nom;;CVCVC;32947
datar;ver;;CVCVC;32953
diogo;nom;;CVVCV;32991
dumas;gram;prp+det;CVCVC;33010
enjôo;nom;;VCCVV;33022
fusca;adj;;CVCCV;33072
gaita;nom;;CVVCV;33075
germe;nom;;CVCCV;33080
goles;nom;;CVCVC;33081
grega;nom;;CCVCV;33086
guaru;nom;;CVVCV;33089
iscas;nom;;VCCVC;33144
larva;nom;;CVCCV;33153
leigo;adj;;CVVCV;33155
lulas;nom;;CVCVC;33169
moles;adj;;CVCVC;33197
parda;adj;;CVCCV;33226
salve;gram;in;CVCCV;33335
sedas;nom;;CVCVC;33341
sensu;nom;;CVCCV;33347
servo;nom;;CVCCV;33350
visar;ver;;CVCVC;33415
vodka;nom;;CVCCV;33418
adega;nom;;VCVCV;33484
algoz;nom;;VCCVC;33501
anexa;adj;;VCVCV;33510
árida;adj;;VCVCV;33529
bugre;nom;;CVCCV;33562
coçar;ver;;CVCVC;33581
cólon;nom;;CVCVC;33584
dócil;adj;;CVCVC;33685
fênix;nom;;CVCVC;33754
goela;nom;;CVVCV;33780
hedge;nom;;CVCCV;33784
ninfa;nom;;CVCCV;33884
pilar;nom;;CVCVC;33924
polvo;nom;;CVCCV;33930
pugna;nom;;CVCCV;33957
rente;adv;;CVCCV;33986
rojão;nom;;CVCVV;34006
setas;nom;;CVCVC;34024
solta;nom;;CVCCV;34038
sueca;nom;;CVVCV;34043
tosco;adj;;CVCCV;34063
troço;nom;;CCVCV;34078
vaiar;ver;;CVVVC;34084
after;ver;;VCCVC;34189
agito;nom;;VCVCV;34191
ávido;adj;;VCVCV;34240
blefe;nom;;CCVCV;34250
devir;nom;;CVCVC;34360
feudo;nom;;CVVCV;34435
grado;nom;;CCVCV;34459
lonas;nom;;CVCVC;34541
lousa;nom;;CVVCV;34542
mamão;nom;;CVCVV;34552
mambo;nom;;CVCCV;34554
manta;nom;;CVCCV;34558
oliva;nom;;VCVCV;34600
pulos;nom;;CVCVC;34669
quiçá;adv;;CVVCV;34673
rapto;nom;;CVCCV;34676
sinhá;nom;;CVCCV;34728
toada;nom;;CVVCV;34764
tocha;nom;;CVCCV;34766
torpe;adj;;CVCCV;34768
tumba;nom;;CVCCV;34779
azedo;adj;;VCVCV;34976
bodes;nom;;CVCVC;35002
bufês;nom;;CVCVC;35013
bumbo;nom;;CVCCV;35015
caído;adj;;CVVCV;35022
catar;ver;;CVCVC;35043
cents;nom;;CVCCC;35045
corvo;nom;;CVCCV;35097
gêmea;adj;;CVCVV;35217
lulus;nom;;CVCVC;35309
menta;nom;;CVCCV;35327
moída;adj;;CVVCV;35344
movie;nom;;CVCVV;35350
murro;nom;;CVCCV;35352
ninar;ver;;CVCVC;35361
opaca;adj;;VCVCV;35372
penso;adj;;CVCCV;35398
plebe;nom;;CCVCV;35412
poças;nom;;CVCVC;35413
pomba;nom;;CVCCV;35415
potro;nom;;CVCCV;35424
roxas;adj;;CVCVC;35509
salmo;nom;;CVCCV;35514
salva;nom;;CVCCV;35515
sótão;nom;;CVCVV;35537
stand;nom;;CCVCC;35539
strip;nom;;CCCVC;35540
teens;adj;;CVVCC;35555
vasco;nom;;CVCCV;35598
viúvo;adj;;CVVCV;35609
açude;nom;;VCVCV;35694
alter;nom;;VCCVC;35715
baila;nom;;CVVCV;35772
berro;nom;;CVCCV;35786
birôs;nom;;CVCVC;35787
bruxo;nom;;CCVCV;35797
clean;nom;;CCVVC;35835
coito;nom;;CVVCV;35841
corno;nom;;CVCCV;35871
coros;nom;;CVCVC;35872
fóton;nom;;CVCVC;36044
galãs;nom;;CVCVC;36049
giros;nom;;CVCVC;36055
guisa;nom;;CVVCV;36064
horda;nom;;CVCCV;36076
lagar;nom;;CVCVC;36134
logro;nom;;CVCCV;36155
louro;nom;;CVVCV;36157
miúdo;adj;;CVVCV;36186
netas;nom;;CVCVC;36204
ofurô;nom;;VCVCV;36216
ótico;adj;;VCVCV;36227
pagão;adj;;CVCVV;36232
paiol;nom;;CVVVC;36234
pífia;adj;;CVCVV;36257
porra;gram;in;CVCCV;36266
porra;nom;;CVCCV;36267
ralos;nom;;CVCVC;36295
saúva;nom;;CVVCV;36362
story;nom;;CCVCV;36382
suite;nom;;CVVCV;36392
talco;nom;;CVCCV;36400
teias;nom;;CVVVC;36404
tonta;adj;;CVCCV;36414
treva;nom;;CCVCV;36430
truta;nom;;CCVCV;36436
acolá;adv;;VCVCV;36563
break;nom;;CCVVC;36641
class;nom;;CCVCC;36685
curas;nom;;CVCVC;36753
desig;nom;;CVCVC;36776
fôrma;nom;;CVCCV;36898
gemas;nom;;CVCVC;36912
ginga;nom;;CVCCV;36914
hímen;nom;;CVCVC;36933
irado;adj;;VCVCV;36987
jeová;nom;;CVVCV;36994
lacre;nom;;CVCCV;37000
leiva;nom;;CVVCV;37008
micos;nom;;CVCVC;37053
nasal;adj;;CVCVC;37067
nesse;adv;;CVCCV;37069
orixá;nom;;VCVCV;37083
ostra;nom;;VCCCV;37085
pasmo;nom;;CVCCV;37097
pavio;nom;;CVCVV;37102
pilão;nom;;CVCVV;37120
reles;adj;;CVCVC;37180
ribas;nom;;CVCVC;37199
sebos;nom;;CVCVC;37211
tenra;adj;;CVCCV;37257
tíbia;nom;;CVCVV;37261
toras;nom;;CVCVC;37269
totem;nom;;CVCVC;37274
trenó;nom;;CCVCV;37278
antro;nom;;VCCCV;37442
ateus;nom;;VCVVC;37481
áureo;adj;;VVCVV;37487
bagel;nom;;CVCVC;37494
bodas;nom;;CVCVC;37509
bufão;nom;;CVCVV;37517
bulbo;nom;;CVCCV;37519
capuz;nom;;CVCVC;37532
casta;adj;;CVCCV;37545
cetro;nom;;CVCCV;37556
couve;nom;;CVVCV;37611
coxão;nom;;CVCVV;37613
dorso;nom;;CVCCV;37676
faxes;nom;;CVCVC;37763
greco;gram;ec;CCVCV;37800
larga;nom;;CVCCV;37875
lides;nom;;CVCVC;37885
mulas;nom;;CVCVC;37929
raiar;ver;;CVVVC;38043
rands;nom;;CVCCC;38044
rasto;nom;;CVCCV;38047
rédea;nom;;CVCVV;38062
relax;nom;;CVCVC;38072
remar;ver;;CVCVC;38073
renas;nom;;CVCVC;38076
retão;nom;;CVCVV;38089
rezas;nom;;CVCVC;38100
rosca;nom;;CVCCV;38105
state;nom;;CCVCV;38134
súber;nom;;CVCVC;38135
tampo;nom;;CVCCV;38156
tempo;adv;;CVCCV;38163
tinto;adj;;CVCCV;38171
trava;nom;;CCVCV;38190
urutu;nom;;VCVCV;38203
verme;nom;;CVCCV;38215
bolão;nom;;CVCVV;38416
cauim;nom;;CVVVC;38443
charm;nom;;CCVCC;38451
chuta;gram;in;CCVCV;38455
coche;nom;;CVCCV;38468
coesa;adj;;CVVCV;38470
dedão;nom;;CVCVV;38540
doida;adj;;CVVCV;38593
edema;nom;;VCVCV;38599
égide;nom;;VCVCV;38600
flama;nom;;CCVCV;38683
fltes;nom;;CCCVC;38686
gália;nom;;CVCVV;38704
gorro;nom;;CVCCV;38714
grãos;adj;;CCVVC;38720
jogo-;nom;;CVCV-;38800
jumbo;nom;;CVCCV;38801
lilás;adj;;CVCVC;38815
links;nom;;CVCCC;38819
magos;nom;;CVCVC;38830
marta;nom;;CVCCV;38837
nexos;nom;;CVCVC;38873
pardo;adj;;CVCCV;38896
porca;nom;;CVCCV;38935
pudim;nom;;CVCVC;38966
sarau;nom;;CVCVV;39038
sites;nom;;CVCVC;39060
vespa;nom;;CVCCV;39149
about;nom;;VCVVC;39254
alhos;nom;;VCCVC;39298
bocal;nom;;CVCVC;39373
bulha;nom;;CVCCV;39383
cajun;nom;;CVCVC;39388
cards;nom;;CVCCC;39397
carte;nom;;CVCCV;39404
cinco;nom;;CVCCV;39429
curry;nom;;CVCCV;39496
ditos;nom;;CVCVC;39575
gibão;nom;;CVCVV;39709
graxa;nom;;CCVCV;39713
horto;nom;;CVCCV;39721
justa;nom;;CVCCV;39782
lanço;nom;;CVCCV;39788
lenho;nom;;CVCCV;39793
manso;adj;;CVCCV;39826
mouro;nom;;CVVCV;39859
naipe;nom;;CVVCV;39868
pagãs;adj;;CVCVC;39902
prelo;nom;;CCVCV;39962
prof.;nom;;CCVCP;39973
retrô;adv;;CVCCV;40053
riste;nom;;CVCCV;40062
rosas;adj;;CVCVC;40066
sedex;nom;;CVCVC;40075
slide;nom;;CCVCV;40086
talhe;nom;;CVCCV;40111
taras;nom;;CVCVC;40114
tarso;nom;;CVCCV;40115
tátil;adj;;CVCVC;40116
velar;ver;;CVCVC;40166
video;nom;;CVCVV;40173
araxá;nom;;VCVCV;40353
átrio;nom;;VCCVV;40378
axial;adj;;VCVVC;40387
bands;nom;;CVCCC;40393
bardo;nom;;CVCCV;40395
bravo;gram;in;CCVCV;40406
casto;adj;;CVCCV;40444
coque;nom;;CVCVV;40528
facho;nom;;CVCCV;40716
fitar;ver;;CVCVC;40742
foods;nom;;CVVCC;40750
gabão;nom;;CVCVV;40767
garis;nom;;CVCVC;40770
gleba;nom;;CCVCV;40778
gneas;adj;;CCVVC;40779
hatch;nom;;CVCCC;40791
liana;nom;;CVVCV;40882
manso;nom;;CVCCV;40902
migra;adj;;CVCCV;40924
mimos;nom;;CVCVC;40926
modus;nom;;CVCVC;40936
natos;adj;;CVCVC;40955
nulas;adj;;CVCVC;40966
parir;ver;;CVCVC;40992
remos;nom;;CVCVC;41118
rumba;nom;;CVCCV;41162
súcia;nom;;CVCVV;41208
tabas;nom;;CVCVC;41219
titio;nom;;CVCVV;41241
tocos;nom;;CVCVC;41242
touch;nom;;CVVCC;41252
zumbi;nom;;CVCCV;41310
alçar;ver;;VCCVC;41437
anglo;nom;;VCCCV;41465
aorta;nom;;VVCCV;41471
ávila;nom;;VCVCV;41525
basco;adj;;CVCCV;41536
bikes;nom;;CVCVC;41549
birra;nom;;CVCCV;41550
boina;nom;;CVVCV;41553
bonds;nom;;CVCCC;41555
bucho;nom;;CVCCV;41563
burra;nom;;CVCCV;41565
bytes;nom;;CVCVC;41568
calle;nom;;CVCCV;41581
calva;nom;;CVCCV;41582
carma;nom;;CVCCV;41594
court;nom;;CVVCC;41664
credo;gram;in;CCVCV;41665
dbase;nom;;CCVCV;41680
death;nom;;CVVCC;41681
degas;nom;;CVCVC;41691
demos;nom;;CVCVC;41703
docas;nom;;CVCVC;41754
focas;nom;;CVCVC;41857
fofão;nom;;CVCVV;41858
funks;nom;;CVCCC;41874
glacê;nom;;CCVCV;41889
gneas;nom;;CCVVC;41891
jarra;nom;;CVCCV;41976
jorro;nom;;CVCCV;41982
juras;nom;;CVCVC;41985
labor;nom;;CVCVC;41988
largo;adv;;CVCCV;41994
levas;nom;;CVCVC;42002
locus;nom;;CVCVC;42010
louro;adj;;CVVCV;42014
match;nom;;CVCCC;42031
meigo;adj;;CVVCV;42036
pagão;nom;;CVCVV;42099
pages;nom;;CVCVC;42100
penne;nom;;CVCCV;42120
pinto;nom;;CVCCV;42136
pinus;nom;;CVCVC;42138
polca;nom;;CVCCV;42140
rambo;nom;;CVCCV;42193
remir;ver;;CVCVC;42239
retos;adj;;CVCVC;42255
roman;nom;;CVCVC;42265
taipa;nom;;CVVCV;42332
trago;nom;;CCVCV;42361
tulha;nom;;CVCCV;42374
turba;nom;;CVCCV;42375
valas;nom;;CVCVC;42383
varga;nom;;CVCCV;42388
areté;nom;;VCVCV;42614
baita;adj;;CVVCV;42651
beiço;nom;;CVVCV;42662
bicas;nom;;CVCVC;42671
bumba;gram;in;CVCCV;42683
cacho;nom;;CVCCV;42689
carom;nom;;CVCVC;42709
ceias;nom;;CVVVC;42722
cioso;adj;;CVVCV;42733
cipós;nom;;CVCVC;42734
corar;ver;;CVCVC;42803
doida;nom;;CVVCV;42915
frias;nom;;CCVVC;43046
gambá;nom;;CVCCV;43054
iates;nom;;VVCVC;43092
jobim;nom;;CVCVC;43170
leiga;adj;;CVVCV;43183
lhama;nom;;CCVCV;43195
liceu;nom;;CVCVV;43198
lidos;adj;;CVCVC;43199
linda;nom;;CVCCV;43201
luxos;nom;;CVCVC;43214
pares;adj;;CVCVC;43317
pecar;ver;;CVCVC;43327
penca;nom;;CVCCV;43333
porco;adj;;CVCCV;43365
power;nom;;CVCVC;43374
rasgo;nom;;CVCCV;43439
remix;nom;;CVCVC;43473
rubor;nom;;CVCVC;43517
rubra;adj;;CVCCV;43518
serva;nom;;CVCCV;43539
silos;nom;;CVCVC;43543
sobre;adv;;CVCCV;43554
sorgo;nom;;CVCCV;43560
takes;nom;;CVCVC;43586
tolos;nom;;CVCVC;43604
travo;nom;;CCVCV;43618
troça;nom;;CCVCV;43627
urros;nom;;VCCVC;43638
vênia;nom;;CVCVV;43651
viela;nom;;CVVCV;43659
zorro;nom;;CVCCV;43672
ágata;nom;;VCVCV;43832
bobos;nom;;CVCVC;43946
bóias;nom;;CVVVC;43949
broto;nom;;CCVCV;43964
checa;adj;;CCVCV;44020
clubs;nom;;CCVCC;44036
colas;nom;;CVCVC;44038
cotia;adj;;CVCVV;44108
cruas;adj;;CCVVC;44116
dúbio;adj;;CVCVV;44226
figos;nom;;CVCVC;44342
fitos;nom;;CVCVC;44357
garoa;nom;;CVCVV;44392
guapo;adj;;CVVCV;44410
kilts;nom;;CVCCC;44509
mínis;nom;;CVCVC;44588
pacas;nom;;CVCVC;44663
papal;adj;;CVCVC;44674
rasas;adj;;CVCVC;44778
refez;adj;;CVCVC;44798
regar;ver;;CVCVC;44801
si-si;gram;pers;CV-CV;44893
suado;adj;;CVVCV;44909
tiete;nom;;CVVCV;44953
tonto;adj;;CVCCV;44963
topos;nom;;CVCVC;44965
tripa;nom;;CCVCV;44978
vulva;nom;;CVCCV;45034
white;nom;;CCVCV;45035
advir;ver;;VCCVC;45228
alvas;adj;;VCCVC;45260
babar;ver;;CVCVC;45353
baias;nom;;CVVVC;45357
carão;nom;;CVCVV;45409
caspa;nom;;CVCCV;45418
caves;nom;;CVCVC;45423
celta;nom;;CVCCV;45427
cerro;nom;;CVCCV;45432
cervo;nom;;CVCCV;45435
clave;nom;;CCVCV;45447
clown;nom;;CCVCC;45449
congo;nom;;CVCCV;45484
covil;nom;;CVCVC;45517
dinar;nom;;CVCVC;45620
eidos;nom;;VVCVC;45660
epóxi;nom;;VCVCV;45693
freak;nom;;CCVVC;45777
galês;adj;;CVCVC;45789
grand;nom;;CCVCC;45805
gurus;nom;;CVCVC;45811
hindu;nom;;CVCCV;45822
ictus;nom;;VCCVC;45835
jambo;nom;;CVCCV;45926
jeton;nom;;CVCVC;45929
juris;nom;;CVCVC;45935
lamas;nom;;CVCVC;45940
lemas;nom;;CVCVC;45947
lítio;nom;;CVCVV;45959
lótus;nom;;CVCVC;45960
nivel;nom;;CVCVC;46043
olmos;nom;;VCCVC;46058
órfão;adj;;VCCVV;46067
ovnis;nom;;VCCVC;46077
pejus;nom;;CVCVC;46109
pesar;adv;;CVCVC;46127
polir;ver;;CVCVC;46145
ráfia;nom;;CVCVV;46219
roças;nom;;CVCVC;46296
rolha;nom;;CVCCV;46300
roxos;adj;;CVCVC;46303
rubro;adj;;CVCCV;46304
ruiva;adj;;CVVCV;46306
saint;nom;;CVVCC;46310
suíno;nom;;CVVCV;46363
tatus;nom;;CVCVC;46382
teles;nom;;CVCVC;46391
tropo;nom;;CCVCV;46437
turvo;adj;;CVCCV;46443
venia;nom;;CVCVV;46468
anodo;nom;;VCVCV;46714
avant;gram;prp;VCVCC;46780
ávida;adj;;VCVCV;46783
baías;nom;;CVVVC;46794
belle;nom;;CVCCV;46806
bosta;nom;;CVCCV;46819
brado;nom;;CCVCV;46824
check;nom;;CCVCC;46888
chopp;nom;;CCVCC;46891
clone;nom;;CCVCV;46900
côres;nom;;CVCVC;46973
cuíca;nom;;CVVCV;47006
diodo;nom;;CVVCV;47121
drink;nom;;CCVCC;47145
facto;nom;;CVCCV;47269
filés;nom;;CVCVC;47288
gatas;nom;;CVCVC;47328
gozos;nom;;CVCVC;47345
grilo;nom;;CCVCV;47353
harpa;nom;;CVCCV;47361
hífen;nom;;CVCVC;47367
junco;nom;;CVCCV;47477
lesma;nom;;CVCCV;47490
linfa;nom;;CVCCV;47503
lírio;nom;;CVCVV;47504
lixos;nom;;CVCVC;47509
loção;nom;;CVCVV;47510
maias;adj;;CVVVC;47519
manha;nom;;CVCCV;47527
matos;nom;;CVCVC;47540
meios;adj;;CVVVC;47549
morra;gram;in;CVCCV;47583
mucho;nom;;CVCCV;47589
papos;nom;;CVCVC;47656
pornô;nom;;CVCCV;47712
puffs;nom;;CVCCC;47776
putas;nom;;CVCVC;47780
rímel;nom;;CVCVC;47897
saver;nom;;CVCVC;47921
share;nom;;CCVCV;47945
síria;adj;;CVCVV;47956
sisal;nom;;CVCVC;47958
steak;nom;;CCVVC;47973
suflê;nom;;CVCCV;47986
swaps;nom;;CCVCC;48004
tapir;nom;;CVCVC;48009
tecto;nom;;CVCCV;48011
todos;adv;;CVCVC;48034
tolas;adj;;CVCVC;48036
toner;nom;;CVCVC;48041
torta;nom;;CVCCV;48048
vagar;ver;;CVCVC;48090
vêzes;nom;;CVCVC;48109
viral;adj;;CVCVC;48119
zíper;nom;;CVCVC;48133
zulus;adj;;CVCVC;48135
amaro;adj;;VCVCV;48379
âmbar;nom;;VCCVC;48381
anzol;nom;;VCCVC;48402
ardis;nom;;VCCVC;48436
basco;nom;;CVCCV;48502
blasé;adj;;CCVCV;48520
blush;nom;;CCVCC;48521
boxer;nom;;CVCVC;48531
broca;nom;;CCVCV;48535
burla;nom;;CVCCV;48536
celta;adj;;CVCCV;48580
chaga;nom;;CCVCV;48584
chula;adj;;CCVCV;48597
cielo;nom;;CVVCV;48602
cisma;nom;;CVCCV;48606
cível;nom;;CVCVC;48611
clock;nom;;CCVCC;48612
corja;nom;;CVCCV;48697
crash;nom;;CCVCC;48712
falha;adj;;CVCCV;48983
field;nom;;CVVCC;49000
flúor;nom;;CCVVC;49012
gauge;nom;;CVVCV;49048
glosa;nom;;CCVCV;49054
híper;nom;;CVCVC;49086
húmus;nom;;CVCVC;49101
ismos;nom;;VCCVC;49198
líbio;adj;;CVCVV;49236
matiz;nom;;CVCVC;49278
mises;nom;;CVCVC;49309
musse;nom;;CVCCV;49334
paper;nom;;CVCVC;49391
peter;ver;;CVCVC;49441
pinça;nom;;CVCCV;49447
pirão;nom;;CVCVV;49450
poles;nom;;CVCVC;49464
pombo;nom;;CVCCV;49469
prega;nom;;CCVCV;49495
punks;adj;;CVCCC;49543
puser;ver;;CVCVC;49545
queda;adj;;CVVCV;49549
quibe;nom;;CVVCV;49553
sáude;nom;;CVVCV;49681
score;nom;;CCVCV;49682
tchan;nom;;CCCVC;49769
turfa;nom;;CVCCV;49830
vadio;nom;;CVCVV;49841
vancê;nom;;CVCCV;49845
veste;nom;;CVCCV;49859
vilão;adj;;CVCVV;49865
vossa;gram;pers;CVCCV;49874
walls;nom;;CVCCC;49875
xhosa;adj;;CCVCV;49876
a-box;gram;prp+n;V-CVC;50072
acres;nom;;VCCVC;50095
acrim;nom;;VCCVC;50096
again;nom;;VCVVC;50122
alvos;adj;;VCCVC;50159
ância;nom;;VCCVV;50174
andor;nom;;VCCVC;50175
antas;nom;;VCCVC;50181
arado;nom;;VCVCV;50222
argos;nom;;VCCVC;50227
assar;ver;;VCCVC;50248
auras;nom;;VVCVC;50266
babás;nom;;CVCVC;50281
banha;nom;;CVCCV;50294
beata;nom;;CVVCV;50304
beats;nom;;CVVCC;50305
bifes;nom;;CVCVC;50313
bobos;adj;;CVCVC;50317
books;nom;;CVVCC;50322
botos;nom;;CVCVC;50328
bruma;nom;;CCVCV;50340
buril;nom;;CVCVC;50343
calvo;adj;;CVCCV;50361
campa;nom;;CVCCV;50362
cáqui;adj;;CVCVV;50383
cassa;nom;;CVCCV;50399
causo;nom;;CVVCV;50406
chiar;ver;;CCVVC;50425
clava;nom;;CCVCV;50447
coice;nom;;CVVCV;50457
coifa;nom;;CVVCV;50458
cross;nom;;CCVCC;50576
cuspe;nom;;CVCCV;50586
derme;nom;;CVCCV;50632
droga;gram;in;CCVCV;50737
ébrio;nom;;VCCVV;50742
ex-vj;nom;;VC-CC;50880
facil;adj;;CVCVC;50882
favos;nom;;CVCVC;50894
fiapo;nom;;CVVCV;50903
fiofó;nom;;CVVCV;50913
float;nom;;CCVVC;50920
forra;nom;;CVCCV;50927
fosco;adj;;CVCCV;50929
fumos;nom;;CVCVC;50941
ghost;nom;;CCVCC;50966
greta;nom;;CCVCV;50983
happy;adj;;CVCCV;50992
harém;nom;;CVCVC;50993
laica;adj;;CVVCV;51158
legis;nom;;CVCVC;51168
líber;nom;;CVCVC;51174
micas;nom;;CVCVC;51240
obesa;adj;;VCVCV;51321
obeso;adj;;VCVCV;51322
pappy;nom;;CVCCV;51369
penta;nom;;CVCCV;51411
picar;ver;;CVCVC;51438
platô;nom;;CCVCV;51448
potra;nom;;CVCCV;51470
riffs;nom;;CVCCC;51631
róseo;adj;;CVCVV;51643
rúgbi;nom;;CVCCV;51649
sacro;adj;;CVCCV;51653
shops;nom;;CCVCC;51683
stock;nom;;CCVCC;51719
tacho;nom;;CVCCV;51763
tevês;nom;;CVCVC;51796
tiara;nom;;CVVCV;51797
tomos;nom;;CVCVC;51811
tonal;adj;;CVCVC;51812
tônus;nom;;CVCVC;51814
torso;nom;;CVCCV;51817
touca;nom;;CVVCV;51819
usura;nom;;VCVCV;51868
vagar;nom;;CVCVC;51872
weber;nom;;CVCVC;51913
atear;ver;;VCVVC;52343
audaz;adj;;VVCVC;52363
brida;nom;;CCVCV;52444
caída;nom;;CVVCV;52461
capão;nom;;CVCVV;52488
corta;nom;;CVCCV;52658
